x_coordinate,y_coordinate,time_interval_seconds
1004,168,0.0343
1001,168,0.0503
985,175,0.0168
968,183,0.0163
926,206,0.0166
870,237,0.0166
764,295,0.017
667,350,0.0163
561,422,0.0171
525,458,0.0152
515,478,0.0177
508,502,0.0165
499,521,0.0154
489,538,0.0163
450,572,0.0162
450,572,0.0
436,583,0.0168
429,588,0.0162
427,590,0.0176
426,590,0.016
424,592,0.0161
421,597,0.0158
416,600,0.0161
410,604,0.0163
405,607,0.0165
397,611,0.0174
387,615,0.0165
383,618,0.017
373,625,0.0173
367,627,0.016
365,630,0.016
365,631,0.0491
364,632,0.016
364,633,0.0493
363,634,0.0155
362,636,0.0166
361,638,0.0169
357,643,0.0181
357,645,0.0146
353,648,0.0164
351,649,0.0171
349,651,0.0155
348,652,0.0153
347,653,0.065
347,654,0.0161
