x_coordinate,y_coordinate,time_interval_seconds
1004,213,0.0164
1000,213,0.0162
999,213,0.0162
996,213,0.0179
976,213,0.0161
951,215,0.0183
897,223,0.0157
824,237,0.0166
701,262,0.0152
509,311,0.0167
400,346,0.0163
357,359,0.0177
340,363,0.0167
339,363,0.0164
339,364,0.0508
337,369,0.0182
336,371,0.0156
336,373,0.0168
337,374,0.0161
339,374,0.0173
344,379,0.0162
346,384,0.0171
347,389,0.0167
347,397,0.0171
344,415,0.0161
341,422,0.0164
340,424,0.0165
338,424,0.0331
335,425,0.0166
334,426,0.0173
331,426,0.0157
328,427,0.0164
326,429,0.0163
325,430,0.0171
