x_coordinate,y_coordinate,time_interval_seconds
101,161,0.0812
110,164,0.017
124,170,0.0158
152,181,0.0168
165,185,0.0166
185,194,0.0168
219,217,0.0163
321,290,0.0175
392,335,0.0162
460,382,0.0167
481,398,0.0173
513,424,0.0158
555,469,0.0167
576,495,0.0172
613,537,0.0175
641,560,0.0164
658,572,0.0168
692,595,0.0167
710,607,0.0169
730,623,0.0171
745,634,0.0171
749,637,0.0164
753,640,0.0177
764,646,0.0158
776,650,0.016
780,651,0.0163
782,651,0.0157
785,651,0.0158
788,650,0.0173
793,647,0.0172
798,645,0.0165
799,642,0.0167
800,640,0.0164
800,639,0.0178
802,634,0.015
803,632,0.0172
803,631,0.0167
803,630,0.0173
804,630,0.0158
806,629,0.0174
806,628,0.0163
807,627,0.0173
809,626,0.0171
810,626,0.0157
811,626,0.0152
811,625,0.0171
