x_coordinate,y_coordinate,time_interval_seconds
1012,414,0.0762
1007,414,0.0157
999,412,0.0159
978,407,0.0179
978,407,0.0
955,399,0.0168
901,383,0.0159
791,360,0.0173
605,326,0.0172
475,301,0.0171
383,286,0.0157
315,276,0.0163
284,271,0.0163
261,265,0.0165
248,260,0.0169
239,259,0.0163
235,258,0.0178
231,258,0.0158
230,258,0.017
229,258,0.0162
228,258,0.0833
226,257,0.0164
208,256,0.0178
208,256,0.0
195,255,0.0163
184,253,0.0171
178,250,0.0161
176,249,0.0176
174,248,0.0157
172,248,0.0174
168,247,0.0162
164,246,0.0168
164,245,0.1522
163,245,0.0662
162,244,0.0173
162,243,0.0168
160,242,0.017
157,240,0.0173
156,240,0.0173
154,236,0.0159
153,236,0.0163
