x_coordinate,y_coordinate,time_interval_seconds
1014,588,0.0
1015,588,0.0166
1013,588,0.0636
991,579,0.0165
951,564,0.016
876,535,0.016
812,509,0.0171
736,476,0.0157
660,441,0.0162
578,403,0.0165
528,377,0.0171
496,357,0.017
481,347,0.0165
469,337,0.0166
469,337,0.0
461,334,0.0169
458,332,0.0165
452,331,0.0163
446,331,0.017
426,329,0.0179
417,328,0.0176
406,327,0.0165
396,325,0.017
392,324,0.0175
389,323,0.0169
387,323,0.016
386,323,0.0491
384,322,0.0811
380,322,0.0169
377,322,0.0167
374,322,0.0166
368,324,0.0165
366,324,0.0168
365,324,0.0491
