x_coordinate,y_coordinate,time_interval_seconds
1015,164,0.0
1016,164,0.0336
1016,166,0.0166
1016,173,0.017
1013,178,0.0169
1011,185,0.0161
1008,194,0.0161
1005,202,0.018
999,222,0.0161
996,239,0.0161
993,258,0.0167
988,285,0.0171
985,319,0.0161
982,349,0.0162
980,371,0.0168
977,390,0.0153
975,403,0.0155
972,417,0.0162
971,430,0.0166
969,442,0.0165
967,449,0.0172
965,457,0.0166
963,466,0.0171
962,473,0.0165
962,477,0.0156
961,483,0.0171
961,487,0.0158
960,490,0.0164
960,493,0.0165
959,496,0.0169
959,500,0.0168
958,504,0.0165
954,511,0.0161
952,515,0.0161
949,517,0.0165
947,518,0.017
946,519,0.0172
945,519,0.0165
942,519,0.017
942,519,0.0
941,519,0.0146
939,519,0.0163
937,519,0.0157
937,518,0.0164
935,517,0.0161
934,516,0.0164
930,511,0.0178
930,509,0.0156
928,508,0.0165
