x_coordinate,y_coordinate,time_interval_seconds
1014,397,0.0642
1010,399,0.0177
1007,400,0.0156
999,400,0.0165
982,399,0.016
955,399,0.0175
911,399,0.0169
872,400,0.0151
821,400,0.0161
770,400,0.0166
731,400,0.0155
702,400,0.0167
695,400,0.0166
694,400,0.0167
693,400,0.0164
692,400,0.0161
685,400,0.0176
679,400,0.016
673,400,0.017
669,400,0.0164
663,400,0.0167
660,400,0.0167
655,400,0.0172
650,400,0.0341
645,400,0.016
643,400,0.0153
642,400,0.016
639,400,0.0166
635,400,0.0171
632,400,0.0169
631,400,0.0173
628,400,0.0166
625,400,0.0165
619,400,0.0166
616,400,0.0172
616,399,0.0158
