x_coordinate,y_coordinate,time_interval_seconds
1020,180,0.0331
1020,187,0.016
1020,213,0.0168
1020,213,0.0
1015,240,0.0155
1007,278,0.016
1003,310,0.0161
1001,340,0.0165
998,366,0.0158
987,403,0.016
976,450,0.0168
968,483,0.0163
962,512,0.0162
961,529,0.0176
960,548,0.0159
960,583,0.0166
960,611,0.0161
963,630,0.017
965,642,0.0167
965,649,0.0164
966,653,0.0175
967,654,0.0165
968,655,0.0649
970,655,0.0175
973,655,0.017
976,655,0.0179
976,654,0.0151
976,653,0.0322
976,651,0.0355
977,650,0.0148
978,648,0.016
979,647,0.0171
