x_coordinate,y_coordinate,time_interval_seconds
1020,538,0.0326
1020,535,0.0164
1016,527,0.0168
1007,517,0.0166
993,504,0.0164
975,488,0.0166
926,450,0.0172
883,426,0.0163
804,387,0.0162
739,352,0.0158
663,311,0.0166
566,253,0.0166
530,225,0.0165
517,212,0.0165
512,201,0.0166
506,187,0.0164
499,176,0.0173
490,164,0.0167
484,154,0.0164
475,141,0.0158
470,131,0.0164
468,127,0.0168
468,126,0.0513
469,125,0.0159
472,123,0.0163
477,120,0.0162
481,118,0.0163
483,118,0.018
484,118,0.0163
485,117,0.0509
487,115,0.0159
490,113,0.0166
490,112,0.0173
