x_coordinate,y_coordinate,time_interval_seconds
1020,664,0.0156
1021,657,0.0173
1025,645,0.0167
1028,625,0.0171
1030,603,0.0174
1030,571,0.0159
1030,509,0.017
1030,479,0.0167
1030,453,0.0166
1031,422,0.0179
1034,407,0.0147
1034,391,0.017
1034,389,0.017
1034,388,0.0171
1033,384,0.0174
1033,380,0.0166
1032,375,0.0171
1031,373,0.0159
1030,371,0.0163
1029,368,0.0166
1029,365,0.0165
1031,361,0.0175
1032,359,0.0164
1034,356,0.0162
1035,355,0.0171
1035,354,0.0163
1036,354,0.0163
