x_coordinate,y_coordinate,time_interval_seconds
1022,138,0.0149
1022,142,0.0168
1022,149,0.0172
1022,167,0.0164
1022,187,0.0156
1022,233,0.0161
1016,274,0.017
1011,328,0.0164
1006,396,0.0176
1003,437,0.0159
1003,468,0.0169
1003,498,0.017
1006,522,0.0167
1007,557,0.0172
1007,585,0.0166
1007,605,0.0179
1007,618,0.0166
1007,619,0.0173
1007,620,0.0166
1007,621,0.0171
1006,624,0.0326
1006,629,0.0171
1006,642,0.0171
1006,662,0.0176
1004,673,0.016
1003,680,0.0165
1003,684,0.0161
1003,691,0.0176
1006,705,0.0161
1006,705,0.0
1010,721,0.017
1011,726,0.0158
1010,725,0.099
1010,723,0.016
1009,722,0.0167
1009,721,0.0496
1009,720,0.0158
