x_coordinate,y_coordinate,time_interval_seconds
1025,440,0.0
1024,440,0.0145
1023,440,0.016
1022,441,0.0168
1022,441,0.0
1021,441,0.0171
1020,442,0.016
1016,443,0.0167
1003,450,0.0175
959,468,0.0165
949,473,0.0169
906,491,0.016
864,507,0.017
774,531,0.0174
712,548,0.0162
663,562,0.0166
636,572,0.0169
613,581,0.0172
605,584,0.0176
600,584,0.016
599,584,0.0166
597,585,0.0159
591,587,0.0168
588,588,0.0162
587,588,0.0165
584,589,0.0498
576,592,0.0157
566,595,0.016
554,598,0.0163
544,600,0.016
537,603,0.0165
532,604,0.0163
529,605,0.0168
528,605,0.016
527,605,0.0641
526,605,0.0329
