x_coordinate,y_coordinate,time_interval_seconds
1027,699,0.001
1027,697,0.0125
1027,693,0.016
1029,681,0.0166
1032,664,0.0171
1034,645,0.0166
1037,622,0.017
1038,564,0.0176
1038,509,0.0157
1038,467,0.0172
1040,417,0.0156
1044,377,0.0166
1061,317,0.0167
1075,291,0.0166
1087,268,0.0177
1097,250,0.0157
1103,236,0.0178
1103,230,0.0158
1104,224,0.0175
1104,223,0.0161
1104,222,0.0162
1104,221,0.0662
1106,218,0.0181
1108,212,0.0169
1108,209,0.0158
1108,205,0.0166
1108,197,0.0157
1108,192,0.0163
1108,186,0.017
1108,183,0.0159
1108,182,0.0166
1108,180,0.0174
