x_coordinate,y_coordinate,time_interval_seconds
1029,458,0.0164
1029,460,0.0165
1029,462,0.018
1026,462,0.0311
1014,462,0.0168
987,459,0.017
960,452,0.0165
922,441,0.0167
881,429,0.0166
842,412,0.0171
816,397,0.0172
807,388,0.0164
796,374,0.016
787,367,0.0173
766,351,0.0171
755,344,0.0157
747,337,0.0171
742,335,0.0164
731,329,0.0166
707,324,0.017
682,323,0.0173
667,322,0.0165
657,321,0.0171
656,321,0.0171
655,320,0.0172
653,320,0.017
649,319,0.0166
647,318,0.017
644,317,0.016
643,316,0.017
642,316,0.049
641,315,0.0328
640,313,0.0173
639,310,0.0165
639,308,0.0166
639,307,0.017
639,306,0.017
639,305,0.0163
