x_coordinate,y_coordinate,time_interval_seconds
1031,646,0.0
1031,643,0.0111
1031,638,0.0165
1031,631,0.0168
1031,624,0.0168
1030,603,0.0162
1030,603,0.0
1030,585,0.0169
1034,547,0.0159
1037,504,0.0165
1040,467,0.0166
1044,380,0.017
1040,343,0.0175
1039,327,0.0163
1038,312,0.0158
1038,302,0.0172
1036,291,0.02
1035,288,0.012
1034,286,0.0169
1033,284,0.0157
1033,281,0.0169
1027,265,0.0169
1025,257,0.0162
1025,253,0.016
1025,251,0.0164
1025,249,0.0169
1025,246,0.016
1025,238,0.0167
1025,232,0.0161
1025,226,0.0158
1024,218,0.0174
1024,214,0.017
