x_coordinate,y_coordinate,time_interval_seconds
1037,122,0.0
1036,122,0.0511
1035,127,0.0179
1033,136,0.0162
1031,150,0.0176
1028,175,0.0161
1021,211,0.0171
1016,230,0.0156
1007,266,0.016
997,299,0.0162
991,328,0.017
988,349,0.0168
988,352,0.0165
988,355,0.016
988,358,0.0166
987,363,0.0165
983,372,0.0165
979,380,0.0159
977,385,0.017
975,390,0.0173
973,396,0.0166
968,405,0.0165
967,408,0.0169
966,409,0.0165
966,410,0.0163
965,412,0.016
962,418,0.0174
960,421,0.0165
959,422,0.016
959,423,0.0165
958,424,0.0175
958,425,0.016
955,429,0.0168
953,434,0.016
951,436,0.017
950,436,0.0345
949,436,0.0825
949,435,0.0331
