x_coordinate,y_coordinate,time_interval_seconds
1036,673,0.0326
1035,671,0.0165
1034,670,0.016
1033,669,0.0165
1032,668,0.0162
1031,667,0.0159
1027,663,0.0171
1022,661,0.0163
1012,656,0.0166
1004,653,0.0163
981,645,0.0164
962,640,0.0167
927,632,0.0162
854,622,0.0176
758,602,0.0161
524,554,0.0169
482,545,0.0167
470,543,0.0163
461,540,0.0171
460,539,0.0157
456,535,0.0172
451,531,0.0164
441,524,0.0163
423,513,0.016
418,508,0.0162
409,503,0.0177
408,502,0.0172
404,501,0.0155
398,500,0.0177
386,494,0.0155
368,487,0.0162
352,482,0.0159
341,478,0.0166
338,476,0.0162
335,475,0.0174
330,475,0.0168
326,475,0.0165
319,475,0.0153
313,475,0.0168
309,473,0.0162
305,471,0.0163
303,470,0.016
302,470,0.0504
301,470,0.0497
300,470,0.0503
299,470,0.017
297,471,0.0171
294,471,0.017
293,472,0.0176
292,472,0.0155
290,472,0.0166
289,472,0.0178
