x_coordinate,y_coordinate,time_interval_seconds
1036,470,0.083
1026,476,0.0166
1007,485,0.0167
992,493,0.0166
962,508,0.0168
941,518,0.0162
909,533,0.0171
874,550,0.0172
844,566,0.0161
805,589,0.0168
785,602,0.016
773,612,0.016
758,625,0.0161
745,632,0.0163
740,636,0.0174
739,636,0.016
737,637,0.0163
736,638,0.016
735,638,0.0176
732,639,0.0331
732,641,0.016
731,641,0.016
731,643,0.017
729,644,0.0158
724,651,0.0165
719,657,0.0175
718,659,0.0162
717,659,0.016
719,659,0.1553
