x_coordinate,y_coordinate,time_interval_seconds
1047,598,0.0477
1047,596,0.0168
1047,595,0.0159
1047,592,0.0169
1047,586,0.0166
1046,577,0.0172
1042,562,0.016
1037,545,0.0161
1031,526,0.0171
1022,502,0.0168
1016,477,0.0158
1012,458,0.017
1004,422,0.0164
999,400,0.0162
991,369,0.0169
987,355,0.0167
982,343,0.0162
979,331,0.0162
978,326,0.0166
978,321,0.0161
977,319,0.0156
977,318,0.016
977,317,0.0172
976,317,0.1306
975,316,0.0314
974,316,0.0321
973,315,0.0168
973,314,0.0161
972,314,0.017
971,314,0.0821
