x_coordinate,y_coordinate,time_interval_seconds
1049,126,0.0325
1048,126,0.0168
1045,127,0.0336
1032,131,0.0165
1005,141,0.0165
952,158,0.0165
877,187,0.0164
778,227,0.0162
649,282,0.0171
566,314,0.018
485,346,0.0168
435,370,0.0166
381,395,0.0165
313,429,0.0173
261,458,0.0166
261,458,0.0
247,467,0.016
239,471,0.0161
233,474,0.0175
228,477,0.0168
214,481,0.0161
200,485,0.0165
185,488,0.017
171,492,0.016
165,493,0.0165
164,493,0.0163
163,493,0.0331
160,495,0.0165
157,499,0.0166
155,501,0.016
155,501,0.0
