x_coordinate,y_coordinate,time_interval_seconds
1063,151,0.0167
1063,152,0.0165
1060,153,0.0169
1057,153,0.0172
1048,153,0.0161
1035,155,0.017
1015,157,0.016
983,160,0.0162
983,160,0.0
951,161,0.0165
918,166,0.016
873,174,0.0165
833,186,0.0173
809,196,0.016
798,200,0.0163
797,200,0.0166
796,200,0.0165
792,200,0.0166
785,198,0.0156
779,197,0.0165
774,196,0.0171
769,195,0.0156
761,194,0.0165
747,194,0.0166
738,195,0.0162
731,198,0.0158
728,199,0.0173
725,199,0.0173
725,200,0.0177
724,200,0.05
723,201,0.0162
722,201,0.0333
720,201,0.0338
712,202,0.0171
708,203,0.0169
703,203,0.0173
698,204,0.0175
695,206,0.0169
695,207,0.0167
