x_coordinate,y_coordinate,time_interval_seconds
1064,702,0.1308
1063,700,0.0175
1058,696,0.0165
1051,688,0.0153
1033,675,0.0167
1013,663,0.0163
959,639,0.0162
862,600,0.0178
721,546,0.0161
538,472,0.0161
468,430,0.016
443,409,0.0169
432,393,0.0158
424,385,0.016
409,361,0.0164
393,340,0.0154
381,315,0.0164
381,307,0.016
381,300,0.0165
381,291,0.0173
384,272,0.0157
387,248,0.0163
388,239,0.0167
388,229,0.0161
388,221,0.017
386,210,0.0165
370,178,0.016
370,178,0.0
355,158,0.016
338,141,0.0157
321,126,0.0166
315,122,0.0173
314,121,0.016
313,120,0.034
311,119,0.016
308,117,0.0175
302,111,0.0172
301,111,0.0183
