x_coordinate,y_coordinate,time_interval_seconds
1076,346,0.0145
1070,342,0.017
1054,336,0.0169
1035,332,0.0161
1002,323,0.0162
947,311,0.0164
864,293,0.0168
785,276,0.0168
703,263,0.0162
670,260,0.0158
648,257,0.0161
644,257,0.0161
643,257,0.0173
641,256,0.0165
635,253,0.0168
624,250,0.0167
604,244,0.0171
597,243,0.0163
583,238,0.0168
578,237,0.016
574,232,0.0162
565,222,0.0162
560,216,0.0163
554,211,0.0164
552,208,0.016
550,206,0.0163
548,204,0.016
544,201,0.0169
541,199,0.0176
539,197,0.0163
538,196,0.0163
538,198,0.0487
538,199,0.0173
