x_coordinate,y_coordinate,time_interval_seconds
1078,395,0.016
1078,393,0.017
1078,387,0.0167
1079,380,0.0165
1079,365,0.0162
1079,350,0.0158
1079,322,0.016
1082,277,0.0168
1082,277,0.0
1082,249,0.0167
1084,224,0.0165
1088,206,0.0166
1092,194,0.0169
1097,178,0.0166
1097,173,0.017
1100,167,0.0164
1101,161,0.0165
1103,156,0.0165
1103,151,0.0155
1104,146,0.0166
1105,139,0.0176
1106,135,0.016
1107,129,0.0165
1109,118,0.0166
1111,109,0.0165
1112,101,0.0166
1112,97,0.0175
1112,93,0.016
1112,91,0.0166
1113,81,0.017
1114,77,0.0151
1114,76,0.0165
