x_coordinate,y_coordinate,time_interval_seconds
1078,554,0.001
1079,554,0.0133
1080,554,0.0172
1076,555,0.0504
1066,559,0.0155
1050,566,0.0163
1012,581,0.0165
973,596,0.0165
922,618,0.0169
874,641,0.0162
833,661,0.0158
799,680,0.0175
792,685,0.0159
789,689,0.0169
784,693,0.0159
776,696,0.0156
752,703,0.0166
729,708,0.0162
721,709,0.0175
717,709,0.0169
715,709,0.0164
710,708,0.0167
708,707,0.016
703,704,0.0166
698,702,0.0171
694,701,0.017
692,701,0.0155
691,700,0.0348
689,698,0.016
686,696,0.0154
683,694,0.0168
681,693,0.0175
678,692,0.017
678,691,0.0173
677,691,0.0982
676,691,0.0504
