x_coordinate,y_coordinate,time_interval_seconds
1080,260,0.0141
1081,260,0.0176
1071,271,0.0316
1061,281,0.0159
1039,297,0.0159
1008,318,0.0165
957,351,0.0162
879,404,0.0173
768,477,0.0161
702,514,0.0173
660,534,0.0157
644,542,0.0171
617,556,0.0167
605,564,0.017
573,585,0.0163
523,616,0.017
480,640,0.0159
436,671,0.0182
428,676,0.0149
427,679,0.0169
427,680,0.0168
425,681,0.0163
416,684,0.0157
413,685,0.0173
411,685,0.0159
410,685,0.0165
409,685,0.0174
407,683,0.0151
402,679,0.0173
398,679,0.0149
395,677,0.0169
394,676,0.0162
390,674,0.017
386,673,0.0166
382,672,0.0167
380,670,0.0181
378,670,0.0162
376,669,0.0172
375,668,0.0171
374,668,0.0321
