x_coordinate,y_coordinate,time_interval_seconds
1081,182,0.0987
1074,186,0.0168
1070,188,0.0165
1055,196,0.0167
986,231,0.0169
871,289,0.0164
802,331,0.016
756,360,0.016
695,402,0.0165
670,420,0.0175
636,444,0.0174
610,466,0.0165
576,501,0.0157
556,517,0.017
544,523,0.0163
526,528,0.016
515,530,0.0168
508,532,0.016
505,533,0.0161
502,535,0.0167
488,543,0.0171
478,547,0.0166
457,552,0.016
431,558,0.0166
411,566,0.0166
399,572,0.0165
391,575,0.017
390,576,0.0167
391,576,0.0682
392,575,0.017
393,574,0.017
397,572,0.0159
399,571,0.017
