x_coordinate,y_coordinate,time_interval_seconds
1084,304,0.0155
1083,304,0.0323
1080,306,0.016
1072,312,0.0176
1060,320,0.0167
1042,333,0.0162
1024,347,0.016
1007,362,0.0162
976,383,0.016
952,400,0.0162
946,405,0.016
940,409,0.0166
937,412,0.016
931,415,0.0166
920,420,0.0175
916,423,0.0165
914,425,0.0161
912,427,0.0165
908,430,0.016
903,433,0.0166
896,441,0.0165
891,445,0.0157
889,447,0.017
889,448,0.0164
888,449,0.0336
887,450,0.016
887,451,0.0166
889,451,0.0499
890,451,0.0164
891,451,0.0161
893,450,0.0192
