x_coordinate,y_coordinate,time_interval_seconds
1086,418,0.0492
1079,416,0.018
1079,416,0.0
1064,411,0.0151
1041,406,0.0168
994,396,0.0162
931,383,0.0165
857,364,0.0159
781,340,0.0164
743,322,0.016
709,302,0.0161
690,288,0.0165
667,275,0.017
652,268,0.016
635,259,0.0162
629,256,0.016
626,256,0.0162
625,254,0.0326
619,248,0.018
613,244,0.0154
606,242,0.0159
598,240,0.0158
579,238,0.0159
570,236,0.017
548,233,0.0165
517,226,0.0169
501,223,0.0161
498,221,0.0158
500,221,0.0831
502,221,0.0168
504,220,0.016
506,220,0.0172
507,220,0.015
511,220,0.0167
513,220,0.0159
517,220,0.0162
520,219,0.0164
