x_coordinate,y_coordinate,time_interval_seconds
108,242,0.0495
110,245,0.0165
121,254,0.0162
139,269,0.0163
187,305,0.017
297,386,0.0174
342,412,0.0167
469,471,0.0165
538,495,0.0162
592,513,0.017
632,529,0.0169
656,541,0.016
685,557,0.016
713,574,0.0165
748,594,0.0158
773,608,0.0177
782,612,0.0167
786,612,0.0165
788,613,0.0167
796,616,0.0165
809,620,0.0159
823,623,0.0173
836,625,0.0165
853,627,0.016
862,628,0.0174
868,629,0.0171
874,629,0.0165
876,629,0.0165
878,629,0.0165
879,629,0.0336
880,629,0.0156
882,629,0.0166
886,630,0.0174
890,631,0.016
891,631,0.0166
895,631,0.0167
913,631,0.0159
936,632,0.0165
944,633,0.0168
945,633,0.017
944,633,0.0866
943,633,0.0322
942,633,0.0345
