x_coordinate,y_coordinate,time_interval_seconds
1081,522,0.1325
1061,522,0.0169
1036,522,0.017
993,522,0.0171
956,522,0.0162
944,521,0.0169
937,520,0.0171
932,519,0.0168
920,516,0.016
849,506,0.0169
796,501,0.0171
741,499,0.0164
661,493,0.0168
562,488,0.0164
557,487,0.0166
555,486,0.0168
549,485,0.0162
536,484,0.0169
518,483,0.0168
512,482,0.0162
507,482,0.017
504,481,0.0169
495,481,0.016
489,481,0.0179
489,481,0.0
484,481,0.0153
481,481,0.0166
479,481,0.0163
475,481,0.017
473,481,0.016
467,481,0.0159
460,482,0.0157
458,482,0.0164
457,482,0.0159
455,483,0.0324
451,483,0.0157
447,485,0.0171
444,486,0.0162
442,486,0.0172
