x_coordinate,y_coordinate,time_interval_seconds
1093,631,0.0822
1091,630,0.0165
1088,627,0.0165
1077,619,0.016
1050,605,0.016
994,582,0.0158
888,539,0.0165
810,507,0.0163
737,472,0.0176
638,416,0.016
553,372,0.0156
459,328,0.0166
437,318,0.0161
428,313,0.0165
422,309,0.016
419,306,0.0164
415,303,0.0166
407,298,0.0165
397,295,0.0159
384,292,0.0171
372,291,0.0175
346,288,0.0161
331,284,0.0165
324,283,0.016
322,281,0.0165
321,280,0.0159
319,280,0.0165
317,279,0.017
317,279,0.0
315,279,0.0164
313,278,0.0162
310,278,0.016
307,277,0.0165
295,277,0.0163
287,277,0.017
283,276,0.0165
280,274,0.0166
278,273,0.0166
276,272,0.0165
276,271,0.0177
275,271,0.0495
274,271,0.0171
274,270,0.0326
273,270,0.0667
273,269,0.0165
272,268,0.0333
271,268,0.017
270,268,0.0166
269,267,0.0187
