x_coordinate,y_coordinate,time_interval_seconds
1100,675,0.0167
1099,675,0.0496
1098,675,0.0161
1098,674,0.0166
1098,673,0.0666
1098,671,0.0166
1097,666,0.016
1097,657,0.0164
1097,639,0.0165
1097,624,0.0165
1096,604,0.0181
1094,582,0.017
1089,545,0.0161
1087,519,0.017
1086,492,0.0176
1086,462,0.016
1082,422,0.016
1073,379,0.016
1071,368,0.0167
1067,356,0.0167
1063,347,0.0174
1061,336,0.016
1060,332,0.0173
1059,329,0.0165
1058,327,0.0161
1057,326,0.0164
1056,323,0.0166
1054,320,0.016
1049,316,0.0166
1047,313,0.0175
1045,310,0.016
1043,308,0.0158
1040,304,0.017
1039,303,0.016
1039,302,0.0164
1038,302,0.0504
