x_coordinate,y_coordinate,time_interval_seconds
1106,240,0.0
1107,239,0.0167
1107,236,0.016
1107,235,0.0165
1107,232,0.016
1104,228,0.0163
1099,222,0.017
1088,215,0.0173
1088,215,0.0
1076,211,0.0161
1060,204,0.0165
1022,189,0.0161
981,171,0.0161
856,125,0.0165
792,110,0.016
740,101,0.0171
715,97,0.0172
699,93,0.0162
681,90,0.0168
669,89,0.0165
660,88,0.0163
651,85,0.0171
635,83,0.0172
635,83,0.0
618,83,0.0156
609,83,0.0164
608,83,0.0156
607,83,0.0326
606,81,0.0158
603,80,0.016
596,78,0.0168
590,78,0.0167
589,77,0.0184
585,76,0.0161
584,75,0.0162
581,75,0.0162
580,75,0.0165
577,75,0.0167
574,74,0.0175
573,74,0.0167
572,74,0.0161
569,74,0.017
568,74,0.0165
567,75,0.0163
564,76,0.0164
561,78,0.0156
558,79,0.0169
554,79,0.0182
548,80,0.0156
547,80,0.0162
546,80,0.0665
