x_coordinate,y_coordinate,time_interval_seconds
1106,499,0.001
1105,496,0.0155
1104,494,0.0169
1102,492,0.0158
1099,489,0.016
1087,479,0.0165
1068,466,0.017
1040,447,0.0172
977,416,0.0161
883,377,0.016
706,319,0.0165
640,299,0.0172
613,289,0.016
578,274,0.0165
539,247,0.016
523,234,0.0166
519,231,0.0165
518,230,0.0335
515,226,0.0162
506,215,0.016
497,204,0.0161
482,186,0.0164
469,174,0.016
453,163,0.017
431,149,0.0158
431,149,0.0
413,137,0.0171
408,132,0.016
407,129,0.016
404,127,0.0163
403,125,0.0166
402,123,0.0175
401,120,0.0169
393,110,0.0155
387,101,0.0163
383,94,0.016
378,88,0.0162
375,86,0.0169
373,84,0.0167
370,82,0.0163
368,81,0.0166
367,80,0.0164
