x_coordinate,y_coordinate,time_interval_seconds
1110,586,0.016
1110,585,0.0157
1110,584,0.0163
1109,581,0.0165
1101,575,0.0167
1089,569,0.0167
1034,549,0.0166
956,528,0.0157
886,512,0.0165
824,493,0.0171
773,469,0.0158
683,420,0.0171
648,395,0.0176
634,380,0.0151
633,370,0.0172
635,363,0.0165
635,363,0.0
636,359,0.0168
638,354,0.0157
638,352,0.016
638,349,0.0156
638,346,0.0175
635,337,0.0164
632,333,0.0176
630,326,0.0165
630,323,0.0171
628,319,0.0168
628,316,0.0176
626,312,0.0165
625,312,0.0335
624,312,0.0336
622,313,0.0335
