x_coordinate,y_coordinate,time_interval_seconds
1110,572,0.0
1110,571,0.0157
1110,569,0.0165
1105,567,0.0173
1096,562,0.0165
1077,555,0.0164
1012,531,0.0159
923,502,0.0161
821,470,0.0162
669,426,0.0178
536,381,0.015
466,357,0.0161
430,336,0.0159
424,331,0.016
419,328,0.0161
407,326,0.0163
373,321,0.017
306,310,0.0184
306,310,0.0
250,299,0.0155
219,293,0.0174
200,290,0.0171
200,289,0.016
198,288,0.0164
198,287,0.0167
198,282,0.0639
199,271,0.0167
199,265,0.0171
199,261,0.0166
197,253,0.0176
193,248,0.0158
189,244,0.0162
186,241,0.017
182,238,0.0168
174,234,0.0159
173,233,0.0173
172,233,0.0161
171,232,0.0323
