x_coordinate,y_coordinate,time_interval_seconds
1112,583,0.001
1112,584,0.0134
1112,585,0.0167
1112,586,0.0165
1112,587,0.0155
1106,586,0.0169
1097,583,0.0164
1084,579,0.016
1057,575,0.0156
1019,566,0.0167
924,541,0.0165
836,517,0.0164
687,468,0.0168
577,428,0.0166
470,390,0.0171
397,360,0.0171
386,353,0.017
383,349,0.0164
382,348,0.0156
378,345,0.0159
365,341,0.0164
357,338,0.0158
350,336,0.0173
345,334,0.0166
338,334,0.0162
327,335,0.0159
298,339,0.0169
282,342,0.0158
268,344,0.0167
246,348,0.0169
207,354,0.0163
196,355,0.0162
191,355,0.016
187,355,0.0157
186,354,0.1345
185,350,0.0161
184,349,0.0172
183,346,0.0165
178,341,0.0161
176,340,0.0163
174,339,0.0181
174,338,0.0154
173,338,0.033
171,338,0.0163
170,338,0.017
