x_coordinate,y_coordinate,time_interval_seconds
1115,90,0.0165
1114,90,0.0321
1107,99,0.016
1093,116,0.0165
1061,150,0.017
986,220,0.017
915,282,0.0163
852,343,0.017
812,387,0.0163
777,430,0.0165
761,461,0.0168
754,480,0.017
750,495,0.0169
741,514,0.0175
733,520,0.016
721,531,0.0166
706,547,0.016
690,566,0.016
681,580,0.0165
673,589,0.0159
666,602,0.0162
661,610,0.0165
652,622,0.017
642,634,0.0165
630,651,0.0163
630,651,0.0
625,659,0.0166
623,662,0.0169
622,664,0.0165
619,667,0.0165
615,672,0.0165
615,672,0.0
610,679,0.0164
602,688,0.017
593,702,0.016
590,708,0.0165
590,710,0.016
589,710,0.0323
589,711,0.0162
