x_coordinate,y_coordinate,time_interval_seconds
1118,380,0.0161
1118,379,0.0157
1117,376,0.017
1114,370,0.0169
1107,367,0.0172
1095,363,0.017
1055,352,0.017
964,329,0.0171
882,303,0.0171
777,273,0.0149
666,242,0.0157
553,221,0.0163
494,212,0.0166
468,206,0.0174
466,205,0.0168
465,203,0.0161
462,202,0.0172
446,196,0.0172
438,192,0.0158
430,189,0.0168
427,187,0.0173
425,184,0.0155
422,179,0.0174
418,176,0.017
414,172,0.0161
406,166,0.0181
406,166,0.0
405,166,0.0159
404,164,0.0182
404,162,0.0311
404,161,0.0159
403,160,0.0166
402,159,0.0161
402,158,0.016
402,157,0.0488
