x_coordinate,y_coordinate,time_interval_seconds
1119,319,0.0665
1119,318,0.016
1117,319,0.0175
1114,321,0.0175
1096,332,0.017
1077,343,0.0165
1039,368,0.0165
1020,381,0.0163
951,422,0.0166
924,436,0.0165
907,445,0.0175
886,454,0.0165
863,469,0.0175
842,482,0.0165
815,497,0.0171
789,508,0.0165
743,526,0.0165
709,538,0.016
688,546,0.0165
674,551,0.0165
655,559,0.0165
630,567,0.0167
601,575,0.0159
590,578,0.016
584,579,0.016
580,580,0.0165
579,580,0.0513
576,582,0.0161
569,585,0.016
556,589,0.016
531,596,0.0165
531,596,0.0
526,598,0.0173
514,601,0.016
510,601,0.0165
508,602,0.0165
