x_coordinate,y_coordinate,time_interval_seconds
1135,540,0.0156
1136,539,0.0176
1135,536,0.032
1132,535,0.0159
1129,532,0.0162
1124,527,0.0175
1104,515,0.0161
1062,494,0.0158
951,439,0.0165
881,395,0.0175
852,379,0.0166
794,347,0.0175
703,304,0.0161
687,295,0.0166
675,286,0.0177
657,273,0.0159
640,258,0.0167
632,251,0.016
624,244,0.016
616,233,0.0165
607,220,0.017
588,202,0.017
571,192,0.017
556,186,0.0165
548,183,0.016
536,178,0.0165
522,173,0.017
510,168,0.0161
500,163,0.0161
490,158,0.016
486,155,0.0165
485,154,0.017
483,153,0.0161
480,150,0.017
475,144,0.017
471,140,0.0165
468,137,0.0161
467,136,0.017
