x_coordinate,y_coordinate,time_interval_seconds
1151,473,0.019
1149,473,0.0146
1143,473,0.0163
1139,473,0.0159
1135,473,0.0162
1133,473,0.0166
1129,472,0.0165
1111,468,0.017
1076,458,0.0166
1022,440,0.0161
936,412,0.0167
840,380,0.0164
618,324,0.0169
484,292,0.0166
372,261,0.0164
305,232,0.0162
248,199,0.0164
209,170,0.0162
208,168,0.0161
209,168,0.0346
210,168,0.0159
213,168,0.0167
215,168,0.0178
216,168,0.0157
217,168,0.0343
225,161,0.0165
234,151,0.0162
241,142,0.017
242,136,0.0158
242,131,0.0173
242,130,0.0168
