x_coordinate,y_coordinate,time_interval_seconds
126,431,0.016
135,430,0.0165
150,427,0.016
214,419,0.0163
300,410,0.017
427,394,0.0163
529,382,0.016
606,380,0.0173
660,380,0.0161
682,380,0.0165
709,380,0.0165
734,378,0.017
759,375,0.0166
796,372,0.0165
815,372,0.0175
827,371,0.016
835,370,0.0165
842,370,0.017
849,368,0.016
859,366,0.017
872,362,0.0161
883,360,0.0165
902,357,0.016
937,349,0.0162
960,343,0.017
980,338,0.017
1003,333,0.017
1012,331,0.0165
1012,330,0.0494
1013,330,0.0998
1021,330,0.0155
1033,328,0.0165
1053,326,0.016
1057,326,0.0163
1057,325,0.016
1056,325,0.0486
1055,325,0.0329
1056,327,0.0204
