x_coordinate,y_coordinate,time_interval_seconds
130,452,0.0162
135,453,0.0156
156,460,0.0169
172,464,0.0166
181,465,0.0158
197,469,0.0172
216,476,0.0159
281,498,0.017
281,498,0.0
386,528,0.0166
481,557,0.0163
566,584,0.0166
645,612,0.0163
741,651,0.017
773,661,0.0171
789,668,0.0156
795,670,0.0168
799,670,0.0159
806,671,0.0162
827,677,0.0172
843,680,0.0172
860,680,0.0176
882,680,0.0167
891,680,0.0161
900,680,0.0169
902,680,0.0167
903,680,0.0161
909,680,0.0322
914,679,0.0168
923,678,0.0174
937,677,0.0158
949,675,0.0165
953,674,0.0155
955,674,0.0165
958,674,0.0325
959,674,0.0166
974,679,0.0176
987,686,0.0168
994,689,0.0164
995,690,0.0167
996,690,0.0325
