x_coordinate,y_coordinate,time_interval_seconds
136,240,0.0959
144,241,0.016
160,242,0.016
222,249,0.0166
308,264,0.0181
420,280,0.0157
497,286,0.0156
554,290,0.017
582,294,0.0173
601,298,0.0165
619,303,0.016
644,311,0.016
672,318,0.0168
688,320,0.0174
694,322,0.0172
699,324,0.0162
702,326,0.0167
704,329,0.0167
707,330,0.0175
709,332,0.0167
711,335,0.0159
716,341,0.0172
717,343,0.016
717,344,0.0166
717,345,0.0171
715,346,0.0492
708,346,0.0169
701,346,0.0167
691,346,0.0165
684,348,0.0169
680,349,0.0168
676,351,0.0172
673,353,0.017
673,354,0.0344
672,354,0.0331
670,356,0.0387
