x_coordinate,y_coordinate,time_interval_seconds
128,509,0.0
134,501,0.017
139,494,0.0162
145,488,0.0162
154,478,0.0161
163,467,0.016
186,441,0.0166
213,408,0.0165
252,358,0.0168
291,303,0.0166
331,254,0.0166
356,218,0.0168
373,192,0.0165
385,174,0.0165
401,155,0.016
412,141,0.016
419,133,0.0161
422,130,0.017
427,124,0.0165
429,123,0.016
432,121,0.0496
436,116,0.0175
442,111,0.0166
453,100,0.0175
460,95,0.0164
466,91,0.017
481,80,0.0163
501,57,0.0165
505,52,0.0156
506,50,0.0165
505,50,0.0655
