x_coordinate,y_coordinate,time_interval_seconds
130,513,0.0162
132,513,0.0165
144,507,0.0172
160,500,0.0166
184,496,0.0165
214,492,0.017
252,483,0.017
359,459,0.017
413,445,0.0154
497,423,0.0153
564,407,0.017
615,393,0.0161
648,384,0.0174
678,380,0.016
696,376,0.0162
706,372,0.0164
716,364,0.0167
720,358,0.017
725,352,0.0165
725,351,0.017
728,350,0.0171
734,347,0.0168
735,345,0.0158
738,343,0.0174
738,342,0.017
738,341,0.0166
738,340,0.017
739,338,0.0162
740,336,0.0163
740,335,0.0326
740,334,0.0328
740,333,0.0169
