x_coordinate,y_coordinate,time_interval_seconds
139,218,0.099
145,222,0.017
159,229,0.018
169,233,0.0167
226,248,0.0173
293,254,0.0164
382,256,0.0166
461,259,0.0167
548,268,0.0164
620,284,0.0163
684,300,0.016
737,310,0.0169
759,313,0.0161
781,318,0.0169
791,324,0.0154
797,328,0.0173
807,333,0.0173
822,342,0.0177
858,363,0.0157
873,369,0.0177
889,376,0.0169
902,382,0.016
919,388,0.0161
930,391,0.0163
941,392,0.0163
956,394,0.017
991,395,0.0191
1010,397,0.0155
1032,397,0.0175
1046,397,0.0163
1060,395,0.018
1068,394,0.0147
1070,394,0.0171
1071,394,0.0159
1072,394,0.1172
1075,394,0.0166
1077,394,0.0171
1078,394,0.0181
1080,394,0.0177
1083,395,0.0145
1088,397,0.0157
1092,398,0.016
1095,399,0.0173
1096,399,0.0161
1096,401,0.0489
1096,402,0.0164
1096,403,0.0165
