x_coordinate,y_coordinate,time_interval_seconds
136,69,0.0
137,70,0.017
138,71,0.0163
139,72,0.0165
140,74,0.0168
141,75,0.0166
144,81,0.0166
144,81,0.0
147,84,0.0168
151,89,0.016
155,94,0.0164
159,99,0.016
162,105,0.0165
174,126,0.0167
189,153,0.016
202,181,0.0166
224,218,0.017
236,242,0.0168
251,277,0.0161
260,299,0.0179
270,325,0.0165
275,343,0.0165
287,374,0.0165
295,392,0.016
298,403,0.0165
301,411,0.0171
305,423,0.016
309,434,0.016
312,439,0.0165
315,444,0.0165
316,447,0.016
316,448,0.0161
317,452,0.0166
317,457,0.0171
317,457,0.0
318,460,0.016
318,461,0.017
