x_coordinate,y_coordinate,time_interval_seconds
149,646,0.0675
156,641,0.0158
168,635,0.0165
174,631,0.016
199,619,0.0159
283,584,0.016
343,557,0.0164
404,520,0.0174
496,438,0.0165
554,393,0.0176
645,339,0.016
645,339,0.0
693,310,0.0156
749,274,0.0166
787,250,0.0166
823,224,0.016
855,199,0.016
880,178,0.0167
885,172,0.0165
889,169,0.017
892,167,0.0155
894,167,0.016
896,167,0.017
901,167,0.0166
910,164,0.0175
921,157,0.0165
922,155,0.017
923,154,0.0175
925,153,0.0165
926,152,0.016
926,151,0.0172
928,150,0.0166
929,149,0.0321
930,147,0.018
932,145,0.0173
934,143,0.016
936,140,0.0166
940,138,0.0154
946,132,0.0163
947,130,0.017
947,130,0.0
947,129,0.0498
948,129,0.0165
948,128,0.0165
