x_coordinate,y_coordinate,time_interval_seconds
146,706,0.0108
146,705,0.0174
149,702,0.0664
157,701,0.0162
176,698,0.0172
207,690,0.0168
273,676,0.0174
344,666,0.0168
449,655,0.016
573,645,0.016
679,638,0.0157
784,633,0.017
834,628,0.0174
871,625,0.017
898,621,0.016
944,619,0.0166
986,618,0.0165
1016,616,0.0168
1034,614,0.0158
1045,613,0.0162
1049,613,0.0159
1050,613,0.0164
1052,613,0.0328
1053,613,0.0165
1055,613,0.0322
1065,611,0.0171
1073,609,0.0169
1077,608,0.0159
1083,606,0.0166
1088,602,0.0164
1096,597,0.0162
1101,593,0.0159
1102,591,0.0164
1100,591,0.0665
1099,591,0.0178
