x_coordinate,y_coordinate,time_interval_seconds
149,532,0.0161
157,532,0.016
168,532,0.0169
173,531,0.0161
183,531,0.0168
202,531,0.0164
229,534,0.0161
281,538,0.0167
333,545,0.016
406,551,0.0162
530,558,0.0161
669,560,0.0158
798,565,0.0161
883,574,0.0167
884,574,0.0172
884,575,0.0163
884,580,0.0196
884,580,0.0
884,581,0.0151
884,583,0.0165
884,585,0.0166
882,587,0.017
879,593,0.0171
879,593,0.0
874,598,0.0159
868,602,0.0164
856,606,0.0164
840,611,0.0174
811,620,0.0163
808,621,0.0164
807,621,0.0488
