x_coordinate,y_coordinate,time_interval_seconds
174,226,0.0
176,226,0.0316
177,225,0.0158
180,224,0.016
189,223,0.018
207,223,0.0171
246,222,0.0162
299,218,0.0158
358,216,0.0167
433,210,0.0171
488,208,0.017
547,206,0.0174
625,206,0.0174
745,204,0.0166
787,203,0.0167
812,202,0.0172
831,202,0.017
843,202,0.0168
860,202,0.0165
877,202,0.0165
900,201,0.0172
936,197,0.017
954,196,0.0171
979,193,0.0169
997,192,0.0163
1013,190,0.0167
1027,188,0.0171
1033,186,0.016
1040,184,0.0162
1045,184,0.0165
1056,184,0.0167
1061,184,0.0171
1063,184,0.0161
1067,180,0.0166
1070,177,0.016
1072,172,0.0164
1073,171,0.017
1075,169,0.0173
1079,167,0.0161
1082,165,0.0161
1087,162,0.0172
1087,161,0.016
1089,160,0.0169
1090,160,0.0158
1092,160,0.0169
1095,160,0.0164
1097,160,0.0157
1098,160,0.0336
1098,159,0.0174
1100,159,0.0166
1101,159,0.0176
1102,159,0.0163
