x_coordinate,y_coordinate,time_interval_seconds
175,163,0.017
176,163,0.066
182,166,0.0161
219,176,0.016
272,187,0.016
370,202,0.016
460,219,0.0166
551,242,0.016
622,262,0.016
754,296,0.0165
822,308,0.0175
857,314,0.0168
876,317,0.0159
895,324,0.017
914,332,0.0159
924,337,0.0174
930,337,0.017
932,338,0.016
934,339,0.0172
938,339,0.016
949,339,0.016
955,339,0.0165
956,338,0.0165
957,337,0.0316
959,334,0.0832
959,333,0.016
960,332,0.0166
960,331,0.017
961,330,0.016
961,329,0.033
961,328,0.0341
