x_coordinate,y_coordinate,time_interval_seconds
176,596,0.163
177,594,0.0161
181,590,0.0166
184,585,0.017
188,579,0.0168
192,572,0.0176
198,562,0.0162
200,556,0.0166
204,544,0.0162
208,535,0.0158
212,526,0.0163
220,511,0.0165
223,501,0.017
227,489,0.0168
232,476,0.017
238,455,0.0176
241,445,0.016
243,440,0.0166
247,434,0.0161
247,429,0.0165
249,425,0.0165
251,421,0.0171
253,416,0.0165
256,411,0.0176
259,407,0.0164
264,401,0.0165
268,396,0.0166
273,391,0.0175
275,388,0.016
280,380,0.016
281,374,0.0165
282,369,0.0159
282,366,0.0175
282,363,0.0168
281,363,0.0166
