x_coordinate,y_coordinate,time_interval_seconds
178,228,0.0
179,228,0.016
180,228,0.0164
183,229,0.0167
185,232,0.0174
224,239,0.0169
295,239,0.017
354,241,0.016
390,245,0.0168
412,257,0.0175
420,267,0.0168
443,282,0.0162
472,292,0.0166
519,305,0.0165
608,322,0.0166
662,334,0.0171
688,344,0.0165
713,361,0.0184
724,371,0.0158
734,377,0.0177
747,382,0.0165
765,384,0.0172
773,384,0.0163
779,384,0.0166
783,384,0.0169
791,384,0.0166
795,384,0.0153
798,384,0.0166
801,384,0.0333
804,384,0.0163
809,384,0.0176
812,384,0.0176
815,384,0.0149
818,384,0.0168
820,384,0.0164
825,382,0.0169
827,381,0.0161
828,381,0.0165
828,380,0.0322
