x_coordinate,y_coordinate,time_interval_seconds
181,290,0.0652
190,296,0.0167
201,302,0.0169
246,321,0.0175
323,357,0.0169
438,408,0.0158
585,465,0.0164
797,541,0.0181
918,593,0.0155
1031,657,0.0164
1090,700,0.0177
1116,722,0.0173
1120,725,0.0174
1122,726,0.0171
1127,729,0.0173
1133,731,0.0171
1134,732,0.0161
1136,733,0.0166
1140,736,0.0162
1145,739,0.0183
1145,739,0.0
1150,742,0.0154
1152,744,0.0167
1158,750,0.0164
1163,756,0.017
1162,756,0.05
1160,756,0.0171
1158,753,0.0165
1156,752,0.0161
1153,749,0.0156
1151,747,0.0169
1148,744,0.0169
1147,744,0.0161
1147,743,0.0175
1145,743,0.0175
1144,743,0.0161
1141,743,0.0196
