x_coordinate,y_coordinate,time_interval_seconds
182,615,0.017
183,614,0.016
189,611,0.0171
197,608,0.016
210,603,0.0158
228,597,0.0171
244,591,0.0171
305,571,0.0161
410,540,0.0165
524,512,0.0173
646,475,0.0161
738,446,0.0167
801,422,0.0162
928,375,0.0162
957,364,0.0164
1005,341,0.0162
1030,323,0.0166
1032,310,0.0167
1033,303,0.0155
1038,296,0.0161
1048,290,0.0162
1059,284,0.0155
1064,282,0.0165
1069,280,0.0162
1080,278,0.0166
1090,277,0.0169
1095,275,0.0164
1095,276,0.0317
1095,284,0.0162
1095,301,0.0159
1094,311,0.0164
1093,314,0.016
1092,315,0.0175
1090,315,0.0162
1087,318,0.0155
1080,323,0.0167
1077,326,0.0168
1075,330,0.0164
1074,330,0.0182
1074,331,0.0471
