x_coordinate,y_coordinate,time_interval_seconds
183,705,0.065
181,704,0.0169
179,701,0.0151
175,698,0.016
174,696,0.0168
164,686,0.0172
154,666,0.0159
144,644,0.0168
135,616,0.0165
132,609,0.0177
127,581,0.0169
126,575,0.0165
125,569,0.0169
124,562,0.0169
124,557,0.0162
124,551,0.0166
120,541,0.0166
119,535,0.0165
117,529,0.0158
116,525,0.016
115,524,0.0165
115,523,0.0332
114,522,0.0162
110,518,0.0165
106,516,0.0173
102,514,0.0167
99,514,0.0165
98,514,0.0167
97,513,0.0173
95,512,0.016
