x_coordinate,y_coordinate,time_interval_seconds
199,629,0.0132
208,629,0.0163
211,629,0.0163
213,629,0.0162
214,629,0.0172
215,629,0.0163
218,628,0.0175
227,627,0.0171
251,622,0.0157
280,615,0.0172
346,597,0.0168
400,582,0.0167
520,558,0.017
637,530,0.0167
813,461,0.0165
914,417,0.017
982,384,0.0169
1009,363,0.0168
1014,356,0.0172
1014,352,0.0156
1014,350,0.0171
1014,348,0.0166
1015,345,0.0157
1017,342,0.0172
1018,340,0.0167
1018,339,0.0166
1018,336,0.0174
1018,335,0.0162
1015,332,0.0162
1014,327,0.0161
1014,324,0.0165
1017,315,0.0162
1019,309,0.0167
1022,304,0.017
1023,302,0.0179
1024,300,0.0162
1025,298,0.0165
1026,297,0.0166
