x_coordinate,y_coordinate,time_interval_seconds
208,148,0.0014
212,147,0.0149
216,147,0.0161
226,144,0.0156
249,140,0.0156
276,136,0.0167
310,130,0.0178
310,130,0.0
336,125,0.0156
355,120,0.0173
383,112,0.017
407,105,0.0161
428,99,0.0183
430,98,0.0138
431,98,0.0161
432,98,0.0171
433,97,0.0161
437,96,0.0169
440,95,0.0157
442,95,0.0165
447,93,0.0169
453,90,0.0177
459,86,0.0165
461,85,0.0164
463,83,0.0169
465,82,0.0154
468,79,0.0164
473,74,0.0174
474,73,0.016
474,71,0.0168
470,71,0.0215
