x_coordinate,y_coordinate,time_interval_seconds
209,734,0.0484
213,730,0.0177
220,724,0.0176
234,717,0.0153
261,703,0.0163
305,684,0.0165
349,666,0.017
419,637,0.0157
506,601,0.0164
585,558,0.0168
613,539,0.0153
644,520,0.0172
670,504,0.0179
708,484,0.0156
748,458,0.0162
748,458,0.0
763,447,0.0173
778,439,0.0166
799,427,0.0158
813,420,0.0171
830,408,0.0162
838,403,0.0165
844,400,0.0176
853,395,0.0166
868,392,0.0163
899,384,0.0165
912,379,0.0159
915,378,0.0172
917,378,0.4069
917,377,0.0171
918,377,0.0329
919,377,0.0665
920,376,0.0165
921,375,0.0162
922,375,0.0317
