x_coordinate,y_coordinate,time_interval_seconds
224,288,0.0
223,288,0.0165
223,289,0.0165
221,293,0.0161
216,302,0.0175
212,312,0.0158
206,324,0.0161
201,337,0.016
192,357,0.0162
174,393,0.0166
161,418,0.0168
153,433,0.016
147,445,0.017
141,464,0.0161
140,469,0.016
138,474,0.0159
137,475,0.0166
137,477,0.0165
136,478,0.0168
132,481,0.0175
130,482,0.0158
119,491,0.0165
109,501,0.0169
82,531,0.0176
71,543,0.017
66,551,0.0162
64,557,0.0161
64,559,0.0165
64,560,0.0163
65,560,0.0335
68,559,0.0172
73,556,0.016
75,552,0.0164
77,549,0.0165
78,547,0.017
